"","TT","dC","dC.sd","dO","dO.sd","n","CO3","CO3.sd","Tooth","Treat","CO3.sd.off","CO3.off","dC.off","dO.off","dC.sd.off","dO.sd.off"
"32","C2-G",-9.92291269080445,0.16861898297693,-6.28137013315274,0.139983010328904,3,3.38206981443657,0.691088704197457,"C2","G",0.673058020293873,0.741989933038725,0.17965614752895,0.261688884746208,0.0739253911342067,0.0936394577200663
"33","C3-G",-9.64271738015852,0.256897474108395,-6.08446738986951,0.131202177881223,3,2.93770093542465,0.500809981194514,"C3","G",0.0243329706050016,0.57990299071253,0.20786206595894,0.239141241636577,0.0917145000319275,0.0547173484614931
"34","C4-F",-9.73710731838463,0.22584954862704,-5.76592453454412,0.242158994770448,3,2.24915822905631,0.372100214840235,"C4","F",-0.27490478073066,-0.43453450170991,0.147620294577241,0.6159878178832,0.0440698292049771,0.0253500201015378
"35","C2-A",-10.0554972074945,0.20157291143315,-6.56070396054954,0.133341319354277,2,3.00781314829227,0.562446970651286,"C2","A",0.544416286747702,0.36773326689443,0.0470716308388965,-0.0176449426505956,0.106879319590427,0.0869977667454388
"36","C2-B",-9.96427254505053,0.0507594394600566,-5.92179267068242,0.154105471340077,3,3.6251161557193,0.557911894671258,"C2","B",0.539881210767674,0.985036274321458,0.13829629328287,0.621266347216525,-0.0439341523826665,0.107761918731239
"37","C1-A",-10.1353822537036,0.111402163128984,-6.12425930338182,0.359589861467067,3,2.875396936568,0.99296733999391,"C1","A",0.348712276280659,0.63701898689708,-0.0847398747372008,0.330444415116894,0.064342067637078,0.23842153174749
"38","C2-H",-9.97014990659592,0.223995521601813,-6.14184271899644,0.358036043782171,3,3.00033289421027,0.529008257356435,"C2","H",0.510977573452851,0.360253012812428,0.13241893173748,0.401216298902502,0.12930192975909,0.311692491173333
"39","C3-H",-10.1473065176366,0.0836785996828666,-6.47016866907909,0.00214460546822212,2,2.14773747936877,0.482672383817019,"C3","H",0.00619537322750591,-0.210060465343354,-0.296727071519092,-0.146560037573003,-0.0815043743936005,-0.0743402239515076
"40","C1-H",-10.2049787123912,0.160307588546191,-6.38352100475241,0.21703377833856,3,2.60881950503374,0.581729664824884,"C1","H",-0.0625253988883672,0.37044155536282,-0.154336333424734,0.0711827137463068,0.113247493054285,0.0958654486189833
"41","C5-I",-13.4512124337494,0.0996319703004612,-4.89950535463212,0.188272676995654,4,2.68366548144836,0.505689596018208,"C5","Control",0,0,0,0,0,0
"42","C1-D",-10.0869182789516,0.132155313320029,-6.19901005244759,0.0407716118762545,3,3.50142497697083,0.5460275466793,"C1","D",-0.0982275170339512,1.26304702729991,-0.0362758999851476,0.255693666051124,0.0850952178281231,-0.0803967178433221
"43","C3-E",-9.64499086089847,0.24562080652147,-5.84984331709516,0.592268683997579,2,2.60036284400806,0.501099480899499,"C3","E",0.0246224703099867,0.242564899295941,0.205588585218988,0.473765314410927,0.0804378324450026,0.515783854577849
"44","C5-G",-13.6309929635818,0.0719428904359899,-4.40091606818193,0.192313495260619,2,2.3951493235639,0.451624733759816,"C5","G",-0.0540648622583917,-0.28851615788445,-0.179780529832474,0.498589286450185,-0.0276890798644713,0.00404081826496452
"45","C1-E",-10.1389758092026,0.131984006119275,-6.39813091447099,0.240961385135801,3,2.55852046232246,0.421044239012121,"C1","E",-0.22321082470113,0.32014251265154,-0.0883334302361334,0.0565728040277236,0.0849239106273689,0.119793055416224
"46","C4-F2",-9.69290240116568,0.290257487087694,-5.77251840072275,0.159783950605217,2,2.33222998787225,0.375039589676969,"C4","F",0.0784089057178167,0.164041136867848,0.425732283976645,0.786447751813869,-0.189242696639431,-0.255045589804753
"47","C4-CB",-9.52710134431477,0.117423194331102,-6.17584609551376,0.413710577544087,3,3.1456564871463,0.116958770173834,"C4","J",-0.179671913785318,0.977467636141893,0.591533340827548,0.38312005702286,-0.362076989396024,-0.00111896286588303
"48","C1-CA",-9.75586260906924,0.300006191459433,-6.04596581026031,0.203785583439627,3,2.4552064265297,0.259673392792484,"C1","I",0.0417371986255575,0.22217814984745,0.307113840665076,0.537740771617776,0.202378549104347,-0.00423056946829076
"49","C4-I2",-10.1186346851423,0.479500183727125,-6.55896615253662,0.41482954040997,3,2.16818885100441,0.296630683959152,"C4","Control",0,0,0,0,0,0
"50","C4-G2",-10.085093399775,0.156515581365215,-6.07140618390577,0.154055579739763,3,2.26708805222041,0.263479102792508,"C4","G",-0.0331515811666443,0.0988992012160033,0.0335412853673063,0.48755996863085,-0.32298460236191,-0.260773960670207
"51","C2-F2",-9.91407948546355,0.0926895320800623,-5.87161223604422,0.0901511913774835,2,2.44115170254081,0.425460529198159,"C2","F",0.236237845140317,0.343017000832002,0.774962581377784,1.27439354061226,-0.426797808349748,-0.397909078795027
"52","C5-CA",-13.2651818006612,0.19015757039704,-4.55972612700471,0.428186410364667,3,2.0275643255633,0.0860488302126817,"C5","I",-0.198097107706109,-0.199822771634707,0.132183878037667,0.41528999551049,0.00548788986496124,-0.00746222497527044
"53","C5-I2",-13.3973656786989,0.184669680532078,-4.9750161225152,0.435648635339937,3,2.227387097198,0.28414593791879,"C5","Control",0,0,0,0,0,0
"54","C2-CB",-9.56949247822136,0.202884095802298,-6.83443158250456,0.259571788518682,3,2.91303613779554,0.12537641061195,"C2","J",-0.0638462734458924,0.814901436086727,1.11954958861997,0.31157419415191,-0.316603244627513,-0.228488481653828
"55","C4-CA",-10.0023124318138,0.0965892947664026,-6.14252737911955,0.0420492659045594,3,2.45905799335503,0.0320649836592208,"C4","I",-0.264565700299931,0.29086914235062,0.11632225332855,0.416438773417073,-0.382910888960723,-0.37278027450541
"56","C3-I2",-9.72322734442171,0.0824169046251131,-6.26603070191317,0.136193167922859,3,2.01353612394366,0.110117825587407,"C3","Control",0,0,0,0,0,0
"57","C3-F2",-9.77800313621536,0.21323195186889,-5.51625364616083,0.176134469821302,2,2.20072850263479,0.117911408838708,"C3","F",0.0077935832513009,0.187192378691133,-0.054775791793654,0.749777055752336,0.130815047243777,0.0399413018984429
"58","C5-CB",-12.9679426952145,0.329888548994262,-5.13105084430347,0.277986751730801,3,2.08990536774359,0.0400941805581832,"C5","J",-0.244051757360607,-0.137481729454413,0.4294229834844,-0.156034721788266,0.145218868462184,-0.157661883609137
"59","C5-G2",-13.6005628632177,0.151500912268497,-4.37769176436915,0.143150895847928,3,1.95414255922935,0.0460659575111565,"C5","G",-0.238079980407634,-0.27324453796865,-0.203197184518867,0.597324358146056,-0.033168768263581,-0.29249773949201
"60","C1-CB",-9.65664609723892,0.129927904577936,-7.09521943726289,0.378299284066655,3,2.80448088683347,0.253717775756978,"C1","J",0.0357815815900512,0.57145261015122,0.406330352495397,-0.511512855384807,0.0323002622228494,0.170283131158738
"61","C1-F2",-10.2978954814303,0.526239184680131,-6.43859065473151,0.499296186370022,2,3.04536480718438,0.506528282501004,"C1","F",0.288592088334077,0.812336530502135,-0.234919031695984,0.145115927146581,0.428611542325044,0.291280033462105
"62","C3-CB",-9.12809596059048,0.0188130232489244,-6.5505048070687,0.153795985187203,3,2.460421182473,0.153780622334295,"C3","J",0.0436627967468874,0.446885058529347,0.59513138383123,-0.284474105155534,-0.0636038813761887,0.0176028172643442
"63","C2-G2",-10.1579439724103,0.1063269509986,-6.21146778470641,0.632343654321154,2,1.92907199347469,0.00894690848570862,"C2","G",-0.180275775572134,-0.169062708234123,0.531098094431032,0.934537991950062,-0.41316038943121,0.144283384148643
"64","C3-CA",-9.70980261587787,0.365777585969426,-5.84393085577072,0.125830146561489,3,2.39983504114112,0.32975231641959,"C3","I",0.219634490832182,0.386298917197467,0.0134247285438445,0.42209984614245,0.283360681344313,-0.0103630213613702
"65","C5-F2",-13.5098549108223,0.22488350282183,-4.30857955622906,0.46569629215931,2,1.81010713437125,0.0813654180919622,"C5","F",-0.202780519826828,-0.417279962826749,-0.112489232123433,0.666436566286143,0.0402138222897519,0.0300476568193729
"66","C1-G2",-10.3943754028977,0.405296273559131,-6.10961575089856,0.678340609978802,2,2.37134182183214,0.222446814723282,"C1","G",0.00451062055635529,0.13831354514989,-0.331398953163385,0.474090830979526,0.307668631204045,0.470324457070884
"67","C3-G2",-9.84436194171703,0.0909475111423009,-6.02181220485585,0.0647435257560372,2,1.91117859712489,0.119240070293147,"C3","G",0.00912224470573998,-0.102357526818771,-0.12113459729532,0.244218497057316,0.00853060651718777,-0.071449642166822
"68","C1-I2",-10.0629764497343,0.0976276423550864,-6.58370658187809,0.208016152907917,3,2.23302827668225,0.217936194166927,"C1","Control",0,0,0,0,0,0
"69","C2-CA",-9.86461243332853,0.0713833978437943,-6.00229866211808,0.276710572510549,3,2.92638610436661,0.336982450600464,"C2","I",0.147759766542622,0.828251402657797,0.824429633512807,1.14370711453839,-0.448103942586016,-0.211349697661961
"70","C2-I2",-10.6890420668413,0.519487340429811,-7.14600577665647,0.48806027017251,3,2.09813470170881,0.189222684057842,"C2","Control",0,0,0,0,0,0
