"","TT","dC","dC.sd","dO","dO.sd","n","CO3","CO3.sd","Tooth","Treat","CO3.sd.off","CO3.off","dC.off","dO.off","dC.sd.off","dO.sd.off"
"1","C1-B",-9.66642144483755,0.14847959980084,-5.67368592837637,0.260137579528515,3,3.39573429988176,0.641082480090612,"C1","B",-0.00317258362263928,1.15735635021084,0.38422093412888,0.78101779012235,0.101419504308934,0.138969249808938
"2","C5-H",-13.5194267745308,0.15334335609739,-3.98410658393669,0.199911932371205,3,2.84283301654647,0.600027392208131,"C5","H",0.0943377961899237,0.159167535098111,-0.0682143407814575,0.915398770695422,0.0537113857969286,0.0116392553755508
"3","C4-H",-9.88796989595523,0.12198471832496,-5.42206191802239,0.293608204557356,3,2.8179102719755,0.622373761418578,"C4","H",-0.0246312341523172,0.134217541209283,-0.00324228299336227,0.95985043440493,-0.0597950010971029,0.0767992298884458
"4","C3-F",-9.70995884158469,0.12173616574343,-5.97349976787974,0.408095115124323,4,2.7480057628923,0.551803979643569,"C3","F",0.0753269690540558,0.390207818180179,0.140620604532769,0.350108863626344,-0.043446808333037,0.331610285704594
"5","C1-C",-9.82652069344906,0.131259009827993,-6.17585173545177,0.165289999358965,3,3.13501334400999,0.490116195338415,"C1","C",-0.154138868374836,0.896635394339073,0.224121685517376,0.278851983046946,0.0841989143360873,0.044121669639388
"6","C4-C",-10.2109597611862,0.380201537754253,-6.43577664169086,0.881667329626354,3,2.83377082690726,0.550283620208949,"C4","C",-0.0967213753619461,0.150078096141043,-0.326232148224372,-0.0538642892635401,0.198421818332191,0.664858354957444
"7","C4-A",-10.0638401912458,0.0987872595748094,-6.29209042100839,0.38881526355426,3,2.88786252698566,0.266989338072965,"C4","A",-0.38001565749793,0.204169796219447,-0.179112578283966,0.0898219314189372,-0.0829924598472533,0.17200628888535
"8","C4-D",-9.79631480220066,0.172394723759833,-5.94980944875302,0.593960497823897,2,4.01878372578817,2.38779991847619,"C4","D",1.7407949229053,1.33509099502195,0.0884128107612074,0.432102903674308,-0.00938499566222953,0.377151523154987
"9","C3-D",-9.82218043850489,0.126679278974981,-6.10237297425448,0.061746905906835,3,2.37338419991523,0.443557811732385,"C3","D",-0.0329191988571274,0.015586255203107,0.0283990076125669,0.221235657251603,-0.0385036951014862,-0.0147379235128947
"10","C2-C",-9.73691709504943,0.107825349790199,-5.99461985016564,0.19426515483502,3,2.88608500336981,0.523462826220752,"C2","C",0.505432142317168,0.246005121971965,0.365651743283971,0.548439167733301,0.0131317579474761,0.147921602226182
"11","C2-E",-9.86260181032889,0.0777154940939317,-5.6563593857327,0.272045791457738,3,3.05855099284388,0.428117054962808,"C2","E",0.410086371059225,0.418471111446035,0.239967028004511,0.886699632166245,-0.0169780977487913,0.225702238848901
"12","C2-I",-10.1025688383334,0.094693591842723,-6.54305901789894,0.0463435526088377,2,2.64007988139784,0.0180306839035837,"C2","Control",0,0,0,0,0,0
"13","C3-A",-9.70928649771535,0.274570159901769,-6.00791670725741,0.553321079340788,3,2.18508299145249,0.408479768825416,"C3","A",-0.0679972417640964,-0.172714953259633,0.141292948402112,0.315691924248673,0.109387185825302,0.476836249921058
"14","C2-F",-9.98814258460397,0.105244329725996,-6.2515839587957,0.174144842052011,3,2.905096469142,0.577608881694925,"C2","F",0.559578197791341,0.265016587744155,0.114426253729427,0.291475059103242,0.0105507378832732,0.127801289443174
"15","C1-F",-9.95962515569732,0.152541498773414,-6.04683576591221,0.134975490238351,3,2.86683366603845,0.61565323768643,"C1","F",-0.0286018260268218,0.628455716367537,0.0910172232691107,0.407867952586507,0.105481403281508,0.0138071605187746
"16","C5-E",-13.567012580256,0.106822011397261,-4.33130385660301,0.26160915893998,3,2.52301877920537,0.471067979007844,"C5","E",-0.0346216170103638,-0.160646702242982,-0.115800146506624,0.568201498029105,0.00719004109679942,0.0733364819443259
"17","C1-I",-10.0506423789664,0.0470600954919059,-6.45470371849872,0.121168329719577,3,2.23837794967092,0.644255063713251,"C1","Control",0,0,0,0,0,0
"18","C1-G",-10.1354167124246,0.111123343377974,-6.07928417363787,0.251571107284514,3,3.32503763101357,0.539550220982967,"C1","G",-0.104704842730285,1.08665968134265,-0.0847743334581672,0.375419544860847,0.0640632478860683,0.130402777564937
"19","C2-D",-10.0803368414877,0.109953525218653,-6.17829133011972,0.208443363919942,3,3.16425128714888,0.47828596615102,"C2","D",0.460255282247436,0.524171405751035,0.022231996845667,0.364767687779228,0.0152599333759297,0.162099811311105
"20","C3-I",-9.85057944611746,0.165182974076467,-6.32360863150609,0.0764848294197297,3,2.35779794471212,0.476477010589513,"C3","Control",0,0,0,0,0,0
"21","C4-G",-10.2526855896193,0.168734019513559,-6.3234375289786,0.297588269997059,3,2.69998698301386,0.584953457939071,"C4","G",-0.0620515376318236,0.0162942522476466,-0.367957976657399,0.0584748234487238,-0.0130456999085041,0.0807792953281487
"22","C5-D",-13.8068901413503,0.122750571628804,-4.522091486856,0.102008149282755,3,2.65985834894507,0.436832600054105,"C5","D",-0.0688569959641032,-0.0238071325032854,-0.355677707600957,0.377413867776112,0.023118601328343,-0.0862645277128988
"23","C4-B",-10.3708095417939,0.443951524863102,-6.94879655064219,0.407639806841672,3,2.0079808347158,0.261393402532542,"C4","B",-0.385611593038353,-0.675711896050413,-0.486081928831998,-0.566884198214867,0.262171805441039,0.190830832172762
"24","C4-E",-9.98888706113137,0.0118374418722464,-6.05621259433782,0.0854765653714295,3,2.72080558031776,0.32130101202758,"C4","E",-0.325703983543315,0.0371128495515469,-0.104159448169503,0.325699758089503,-0.169942277549816,-0.13133240929748
"25","C3-C",-9.70037201388147,0.142656019053608,-6.04807750665178,0.593610684681238,3,3.15481531800743,0.562492291709741,"C3","C",0.0860152811202287,0.797017373295304,0.150207432235986,0.275531124854304,-0.0225269550228592,0.517125855261508
"26","C3-B",-9.54321900611569,0.0172780591212221,-6.13682689236235,0.0756408944557729,3,2.79287425530497,0.448770531378337,"C3","B",-0.027706479211176,0.435076310592847,0.307360440001773,0.186781739143736,-0.147904914955245,-0.000843934963956836
"27","C5-C",-13.5752535568048,0.272124343954263,-4.24732624980832,0.461576427787462,3,2.44894068469931,0.637666491733283,"C5","C",0.131976895715075,-0.234724796749048,-0.12404112305539,0.652179104823799,0.172492373653802,0.273303750791808
"28","C5-A",-13.6571552937707,0.0696302669057005,-4.6724901443569,0.503221303255654,2,2.49787471677243,0.717003888395188,"C5","A",0.21131429237698,-0.185790764675925,-0.205942860021374,0.22701521027521,-0.0300017033947607,0.31494862626
"29","C4-I",-9.88472761296187,0.181779719422063,-6.38191235242732,0.21680897466891,3,2.68369273076622,0.647004995570895,"C4","Control",0,0,0,0,0,0
"30","C5-B",-13.6152301075457,0.125485157135841,-4.11983456998969,0.278366999194949,3,2.42329072616451,0.212954238141873,"C5","B",-0.292735357876335,-0.260374755283842,-0.164017673796291,0.779670784642425,0.0258531868353796,0.0900943221992947
"31","C5-F",-13.4275723952301,0.274482293704579,-4.31618755485795,0.218661559361901,3,2.87486494451545,0.580457095928127,"C5","F",0.0747674999099196,0.191199463067095,0.0236400385192752,0.583317799774162,0.174850323404118,0.0303888823662471
